'6129301312708885679,367,必须会有人担忧的呢
'6129304042260050156,548,贾玲跟赤赤绝配好么
'6129306492196168998,27,当然BABY公主最美了
'6129301226623940792,773,林允美死了 人鱼公主现世啊
'6129306212197031605,429,已经等了很久了，就等今天的奔兄了
'6129301364965715370,672,笨熊晚上哈，你也来看跑男啦
'6129306384419348317,716,忧的只有陈赫吧
'6129300905273145137,507,我家贾玲跟谁配
'6131316806990092423,51,哈哈哈哈赫赫你调皮了
'6131317021844525295,28,贾玲
'6131317668311381610,64,赤赤 快来弹幕啊 好喜欢你呢
'6131322751040281146,42,赫宝宝一来 瞬间爆炸
'6129301082079681485,434, 笨熊晚上好
'6131316557631528230,1545,hellohello~~~淑芬！铁柱！动！霸！tua！
'6131317721671317167,22,hello  天才陈赫！
'6131317751836751581,39,淑芬和铁柱的组合简直棒呆 最喜欢你们这对了
'6131331172658650565,17,陈铁柱 你好啊
'6129299967780140704,5,好开心，跑男又来了，这就是精神食粮。
'6131316937530621586,23,赤赤和贾玲合作的开心么？
'6131317829382260424,3,淑芬，铁柱棒棒的，继续加油
'6131318886443342843,14,陈赫和贾玲的组合实在太棒了！
'6131319170901024630,44,贾玲的打扮 让我一眼就想起了机智的小胖  哈哈
'6131310171174542444,70,贾玲公主我爱你！
'6129308549568190922,8,最后这位重量级的女嘉宾真的吓到我了
'6131316746018694262,28,小陈赫你终于来了
'6129301344942108052,2,同样同样 我也是最爱的呢
'6129301597559798392,6,真的觉得这样的节目公益性真的很大
'6131267134385898556,926,28日13-14点参与弹幕互动有机会赢取陈赫，贾玲签名照
'6131307405721916842,7,好激动！坐等天才和我公主！
'6131317203382380318,14,铁柱 是你聪明还是淑芬聪明啊
'6131316643014987215,9,贾玲姐姐好棒
'6131316954470366136,2,表示赤赤的英文我真的看不懂啊！动霸 tua!!!
'6131324140621558045,22,我要你的签名照 赤赤 你给不给
'6131328991473784782,9,小板凳已备好 
'6129306241782436110,1,终于等来完整版
'6131324575411682100,26,你俩的签名照我都要！！
'6131332062979368993,10,签名照是我的
'6129313348473925240,10,导演你不考虑下陈赫的感受 吗
'6131316942331867970,21,淑芬 我眼中最美
'6131324150461419593,7,赤赤 你要贾玲的么
'6131324395569363973,4,我要陈赫的签名名牌 给我不
'6131323778686696640,2444,签名照？我也要！！！
'6131325630275994486,3,这期的女嘉宾都特别美，但是贾玲你最美、
'6129301060891269145,439,这期贾玲扮相很不错啊！漂亮。
'6131316791128448894,13,淑芬和铁柱的多肉组合无敌了！！！
'6131324560795586338,18,贾玲女神 多说点啊 
'6131324976588471515,10,我想要签名照 给我留一个啊
'6129306266595914619,38,为了看完整版都熬夜了
'6131317608433660086,5,我想问陈赫拉起链子的时候什么心情啊~
'6131319639109982307,2,赫宝宝居然第一诶
'6131324019930480079,2,赤赤的签名照我要！！！
'6131324098142867901,0,赫赫，我要的是你性感的签名照哦
'6131324804740486349,48,真不够分的 求陈赤赤多签名几个
'6129301150984901890,230,埃及艳后我也爱
'6131324718241370055,16,粉丝都不够分了赫赫别闹我给你我的签名照吧[xl14z]
'6131317114541617998,3,陈赫肯定说很美丽啦
'6129301669278202567,8,看着他们每一位为了公益在努力的奋斗着
'6129306536131514375,109,这就是传说中的重量级
'6131324485851765243,11,弹宝宝你想不想要呀
'6131325177245024064,13,弹主播太懂我们的心思了，哈哈哈
'6126761535617807755,473,第一
'6126761610705443541,978,订单嘿嘿
'6129297854828189092,213,支持邓超和李晨
'6129297859488078030,4,没人弹？第一个
'6129297998578351570,2,啊啊啊
'6129298006854949249,77,第一
'6129298055601145074,175,有完整啦~
'6129298206062206236,190,没人？
'6129298223732809014,1,有人吗？
'6129298249654808444,11,前排
'6129298384816258444,265,我是第一！！
'6129298463056795775,1,啦啦啦啦😄！
'6129298486905608355,16,云艳
'6129298566558596053,190,完整版抢快
'6129298753772406841,14,哈哈
'6129298801918816520,380,我第一
'6129298812139124841,804,李晨如果你有机会看，希望你能看到还有无数粉丝在爱...
'6129298838634708264,61,李晨我爱你
'6129298857613775283,27,弹弹弹
'6129299043765351071,303,晨儿我们永远支持你
'6129299072522722161,1,第二
'6129299354689131546,156,好笑的 Q1
'6129299925504546460,617,帅比鹏我要和你搅基
'6129300124701643722,599,这环节又是runningman
'6129300410581199162,4,草莓：大半夜在被窝里看跑男也是没谁了
'6129300430247245042,1,第一 哈哈
'6129300462102822846,226,O(∩_∩)O哈哈哈~  完整版出来了
'6129300641347615163,150,有人？
'6129300740399249003,223,来写檀木了
'6129300849171174264,99,开始了
'6129300890689395428,93,厚厚
'6129301004591119199,194,11:33有人吗
'6129301140804121283,225,我爱李晨。
'6129301303301051839,1,熬夜啊
'6129301603716857356,290,苦了我赫赫
'6129301652837582615,111,有人吗
'6129301698396100474,318,我叫陈妍衡，第一
'6129301785724509937,1,有人打1
'6129301995692564685,87,我中了跑男奖是真的吗
'6129302116185488599,165,这期太搞笑了
'6129302236609196253,1,23:38有人吗
'6129302245274624508,20,卡啊啊
